group,replicate,fastq_1,fastq_2,strandedness
CC_6_F,3,/projects/carter-lab/MTHFR/data/RNAseq/08967_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/08967_R2.fastq.gz,reverse
CC_6_F,4,/projects/carter-lab/MTHFR/data/RNAseq/08974_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/08974_R2.fastq.gz,reverse
CC_6_F,5,/projects/carter-lab/MTHFR/data/RNAseq/48287_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/48287_R2.fastq.gz,reverse
CC_6_F,6,/projects/carter-lab/MTHFR/data/RNAseq/48288_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/48288_R2.fastq.gz,reverse
CC_6_M,1,/projects/carter-lab/MTHFR/data/RNAseq/08961_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/08961_R2.fastq.gz,reverse
CC_6_M,2,/projects/carter-lab/MTHFR/data/RNAseq/08962_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/08962_R2.fastq.gz,reverse
CC_6_M,3,/projects/carter-lab/MTHFR/data/RNAseq/08971_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/08971_R2.fastq.gz,reverse
CC_6_M,4,/projects/carter-lab/MTHFR/data/RNAseq/48276_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/48276_R2.fastq.gz,reverse
CC_6_M,5,/projects/carter-lab/MTHFR/data/RNAseq/48285_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/48285_R2.fastq.gz,reverse
CC_6_M,6,/projects/carter-lab/MTHFR/data/RNAseq/48286_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/48286_R2.fastq.gz,reverse
CT_18_F,1,/projects/carter-lab/MTHFR/data/RNAseq/34178_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/34178_R2.fastq.gz,reverse
CT_18_F,2,/projects/carter-lab/MTHFR/data/RNAseq/34179_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/34179_R2.fastq.gz,reverse
CT_18_F,3,/projects/carter-lab/MTHFR/data/RNAseq/34194_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/34194_R2.fastq.gz,reverse
CT_18_F,4,/projects/carter-lab/MTHFR/data/RNAseq/34198_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/34198_R2.fastq.gz,reverse
CT_18_F,5,/projects/carter-lab/MTHFR/data/RNAseq/38405_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/38405_R2.fastq.gz,reverse
CT_18_F,6,/projects/carter-lab/MTHFR/data/RNAseq/38496_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/38496_R2.fastq.gz,reverse
CT_18_M,1,/projects/carter-lab/MTHFR/data/RNAseq/34133_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/34133_R2.fastq.gz,reverse
CT_18_M,2,/projects/carter-lab/MTHFR/data/RNAseq/34134_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/34134_R2.fastq.gz,reverse
CT_18_M,3,/projects/carter-lab/MTHFR/data/RNAseq/34163_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/34163_R2.fastq.gz,reverse
CT_18_M,4,/projects/carter-lab/MTHFR/data/RNAseq/34186_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/34186_R2.fastq.gz,reverse
CT_18_M,5,/projects/carter-lab/MTHFR/data/RNAseq/34187_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/34187_R2.fastq.gz,reverse
CT_18_M,6,/projects/carter-lab/MTHFR/data/RNAseq/38403_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/38403_R2.fastq.gz,reverse
